Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,Public
Morning Run,2024-03-25,13:00,2024-03-25,14:00,false,Park,true,false
Morning Run,2024-03-27,13:00,2024-03-27,14:00,false,Park,true,false
Morning Run,2024-03-29,13:00,2024-03-29,14:00,false,Park,true,false
Morning Run,2024-04-01,13:00,2024-04-01,14:00,false,Park,true,false
Morning Run,2024-04-03,13:00,2024-04-03,14:00,false,Park,true,false
Morning Run,2024-04-05,13:00,2024-04-05,14:00,false,Park,true,false
Morning Run,2024-04-08,13:00,2024-04-08,14:00,false,Park,true,false
Morning Run,2024-04-10,13:00,2024-04-10,14:00,false,Park,true,false
Morning Run,2024-04-12,13:00,2024-04-12,14:00,false,Park,true,false
Morning Run,2024-04-15,13:00,2024-04-15,14:00,false,Park,true,false
Morning Run,2024-04-17,13:00,2024-04-17,14:00,false,Park,true,false
Morning Run,2024-04-19,13:00,2024-04-19,14:00,false,Park,true,false
Swimming,2024-03-27,00:00,2024-03-27,01:00,false,Pool,true,false
Swimming,2024-03-29,00:00,2024-03-29,01:00,false,Pool,true,false
Swimming,2024-04-03,00:00,2024-04-03,01:00,false,Pool,true,false
Swimming,2024-04-05,00:00,2024-04-05,01:00,false,Pool,true,false
Swimming,2024-04-10,00:00,2024-04-10,01:00,false,Pool,true,false
Swimming,2024-04-12,00:00,2024-04-12,01:00,false,Pool,true,false
Swimming,2024-04-17,00:00,2024-04-17,01:00,false,Pool,true,false
Swimming,2024-04-19,00:00,2024-04-19,01:00,false,Pool,true,false
Dental Checkup,2024-03-27,18:00,2024-03-27,19:00,false,Regular Checkup,Dental Clinic,true
Physical Therapy,2024-03-29,22:00,2024-03-29,23:00,false,Clinic,true,false
Physical Therapy,2024-04-01,22:00,2024-04-01,23:00,false,Clinic,true,false
Physical Therapy,2024-04-03,22:00,2024-04-03,23:00,false,Clinic,true,false
Physical Therapy,2024-04-05,22:00,2024-04-05,23:00,false,Clinic,true,false
Physical Therapy,2024-04-08,22:00,2024-04-08,23:00,false,Clinic,true,false
Physical Therapy,2024-04-10,22:00,2024-04-10,23:00,false,Clinic,true,false
Nutritionist,2024-03-30,20:00,2024-03-30,21:00,false,Diet Plan Review,Clinic,true
